id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,goatPoints,value
GrandSlamTitleStreak,Grand Slam Title Streak,Rod Laver,Australia,AUS,false,"2, 1",4
TourFinalsTitleStreak,Tour Finals Title Streak,Novak Djokovic,Serbia,SRB,true,1,4
AltFinalsTitleStreak,Alternative Tour Finals Title Streak,Rod Laver,Australia,AUS,false,,2
AllFinalsTitleStreak,All Tour Finals Title Streak (Official and Alternative),John McEnroe,United States,USA,false,,4
MastersTitleStreak,Masters Title Streak,Ivan Lendl,United States,USA,false,1,8
OlympicsTitleStreak,Olympics Title Streak,Andy Murray,United Kingdom,GBR,true,,2
BigTitleStreak,"Big Title Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,"2, 1",7
ATP500TitleStreak,ATP 500/CS Title Streak,Boris Becker,Germany,GER,false,,8
ATP250TitleStreak,ATP 250/WS Title Streak,Roger Federer,Switzerland,SUI,true,,13
SmallTitleStreak,"Small Title Streak (ATP 500/CS, ATP 250/WS)",Ivan Lendl,United States,USA,false,,12
HardTitleStreak,Hard Title Streak,Roger Federer,Switzerland,SUI,true,,9
ClayTitleStreak,Clay Title Streak,Rafael Nadal,Spain,ESP,true,,13
GrassTitleStreak,Grass Title Streak,Roger Federer,Switzerland,SUI,true,,10
CarpetTitleStreak,Carpet Title Streak,John McEnroe,United States,USA,false,,13
OutdoorTitleStreak,Outdoor Title Streak,Bjorn Borg,Sweden,SWE,false,,8
IndoorTitleStreak,Indoor Title Streak,John McEnroe,United States,USA,false,,15
TitleTournamentStreak,Title Streak at Single Tournament,Rafael Nadal,Spain,ESP,true,,8
GrandSlamTitleTournamentStreak,Title Streak at Single Grand Slam Tournament,Bjorn Borg,Sweden,SWE,false,,5
MastersTitleTournamentStreak,Title Streak at Single Masters Tournament,Rafael Nadal,Spain,ESP,true,,8
ATP500TitleTournamentStreak,Title Streak at Single ATP 500/CS Tournament,Rafael Nadal,Spain,ESP,true,,8
ATP250TitleTournamentStreak,Title Streak at Single ATP 250/WS Tournament,Guillermo Vilas,Argentina,ARG,false,,6
FinalStreak,Final Streak,Ivan Lendl,United States,USA,false,1,18
GrandSlamFinalStreak,Grand Slam Final Streak,Roger Federer,Switzerland,SUI,true,1,10
TourFinalsFinalStreak,Tour Finals Final Streak,Ivan Lendl,United States,USA,false,,9
AltFinalsFinalStreak,Alternative Tour Finals Final Streak,John McEnroe,United States,USA,false,,6
AllFinalsFinalStreak,All Tour Finals Final Streak (Official and Alternative),Ivan Lendl,United States,USA,false,,12
MastersFinalStreak,Masters Final Streak,Novak Djokovic,Serbia,SRB,true,,11
OlympicsFinalStreak,Olympics Final Streak,Andy Murray,United Kingdom,GBR,true,,2
BigFinalStreak,"Big Final Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,1,18
ATP500FinalStreak,ATP 500/CS Final Streak,John McEnroe,United States,USA,false,,9
ATP250FinalStreak,ATP 250/WS Final Streak,Ivan Lendl,United States,USA,false,,14
SmallFinalStreak,"Small Final Streak (ATP 500/CS, ATP 250/WS)",Ivan Lendl,United States,USA,false,,18
HardFinalStreak,Hard Final Streak,Roger Federer,Switzerland,SUI,true,,13
ClayFinalStreak,Clay Final Streak,Rafael Nadal,Spain,ESP,true,,18
GrassFinalStreak,Grass Final Streak,Roger Federer,Switzerland,SUI,true,,13
CarpetFinalStreak,Carpet Final Streak,Ivan Lendl,United States,USA,false,,19
OutdoorFinalStreak,Outdoor Final Streak,Roger Federer,Switzerland,SUI,true,,15
IndoorFinalStreak,Indoor Final Streak,Ivan Lendl,United States,USA,false,,19
FinalTournamentStreak,Final Streak at Single Tournament,Roger Federer,Switzerland,SUI,true,,13
GrandSlamFinalTournamentStreak,Final Streak at Single Grand Slam Tournament,Ivan Lendl,United States,USA,false,,8
MastersFinalTournamentStreak,Final Streak at Single Masters Tournament,Rafael Nadal,Spain,ESP,true,,9
ATP500FinalTournamentStreak,Final Streak at Single ATP 500/CS Tournament,Roger Federer,Switzerland,SUI,true,,10
ATP250FinalTournamentStreak,Final Streak at Single ATP 250/WS Tournament,Guillermo Vilas,Argentina,ARG,false,,9
SemiFinalStreak,Semi-Final Streak,Ivan Lendl,United States,USA,false,,20
GrandSlamSemiFinalStreak,Grand Slam Semi-Final Streak,Roger Federer,Switzerland,SUI,true,,23
TourFinalsSemiFinalStreak,Tour Finals Semi-Final Streak,Ivan Lendl,United States,USA,false,,12
AltFinalsSemiFinalStreak,Alternative Tour Finals Semi-Final Streak,John McEnroe,United States,USA,false,,6
AllFinalsSemiFinalStreak,All Tour Finals Semi-Final Streak (Official and Alternative),Ivan Lendl,United States,USA,false,,16
MastersSemiFinalStreak,Masters Semi-Final Streak,Jimmy Connors,United States,USA,false,,15
OlympicsSemiFinalStreak,Olympics Semi-Final Streak,Stefan Edberg,Sweden,SWE,false,,2
BigSemiFinalStreak,"Big Semi-Final Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,,20
ATP500SemiFinalStreak,ATP 500/CS Semi-Final Streak,Novak Djokovic,Serbia,SRB,true,,19
ATP250SemiFinalStreak,ATP 250/WS Semi-Final Streak,Roger Federer,Switzerland,SUI,true,,22
SmallSemiFinalStreak,"Small Semi-Final Streak (ATP 500/CS, ATP 250/WS)",Ivan Lendl,United States,USA,false,,18
HardSemiFinalStreak,Hard Semi-Final Streak,Jimmy Connors,United States,USA,false,,18
ClaySemiFinalStreak,Clay Semi-Final Streak,Rafael Nadal,Spain,ESP,true,,18
GrassSemiFinalStreak,Grass Semi-Final Streak,Roger Federer,Switzerland,SUI,true,,13
CarpetSemiFinalStreak,Carpet Semi-Final Streak,Ivan Lendl,United States,USA,false,,25
OutdoorSemiFinalStreak,Outdoor Semi-Final Streak,Novak Djokovic,Serbia,SRB,true,,20
IndoorSemiFinalStreak,Indoor Semi-Final Streak,Ivan Lendl,United States,USA,false,,26
SemiFinalTournamentStreak,Semi-Final Streak at Single Tournament,Roger Federer,Switzerland,SUI,true,,15
GrandSlamSemiFinalTournamentStreak,Semi-Final Streak at Single Grand Slam Tournament,Jimmy Connors,United States,USA,false,,12
MastersSemiFinalTournamentStreak,Semi-Final Streak at Single Masters Tournament,Rafael Nadal,Spain,ESP,true,,9
ATP500SemiFinalTournamentStreak,Semi-Final Streak at Single ATP 500/CS Tournament,Roger Federer,Switzerland,SUI,true,,10
ATP250SemiFinalTournamentStreak,Semi-Final Streak at Single ATP 250/WS Tournament,Roger Federer,Switzerland,SUI,true,,10
QuarterFinalStreak,Quarter-Final Streak,Roger Federer,Switzerland,SUI,true,,29
GrandSlamQuarterFinalStreak,Grand Slam Quarter-Final Streak,Roger Federer,Switzerland,SUI,true,,36
TourFinalsQuarterFinalStreak,Tour Finals Quarter-Final Streak,Ivan Lendl,United States,USA,false,,12
AltFinalsQuarterFinalStreak,Alternative Tour Finals Quarter-Final Streak,John McEnroe,United States,USA,false,,10
AllFinalsQuarterFinalStreak,All Tour Finals Quarter-Final Streak (Official and Alternative),Ivan Lendl,United States,USA,false,,19
MastersQuarterFinalStreak,Masters Quarter-Final Streak,Rafael Nadal,Spain,ESP,true,,21
OlympicsQuarterFinalStreak,Olympics Quarter-Final Streak,Kei Nishikori,Japan,JPN,true,,3
BigQuarterFinalStreak,"Big Quarter-Final Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Jimmy Connors,United States,USA,false,,29
ATP500QuarterFinalStreak,ATP 500/CS Quarter-Final Streak,Novak Djokovic,Serbia,SRB,true,,23
ATP250QuarterFinalStreak,ATP 250/WS Quarter-Final Streak,Guillermo Vilas,Argentina,ARG,false,,55
SmallQuarterFinalStreak,"Small Quarter-Final Streak (ATP 500/CS, ATP 250/WS)",Ilie Nastase,Romania,ROU,false,,29
HardQuarterFinalStreak,Hard Quarter-Final Streak,Jimmy Connors,United States,USA,false,,32
ClayQuarterFinalStreak,Clay Quarter-Final Streak,Guillermo Vilas,Argentina,ARG,false,,28
GrassQuarterFinalStreak,Grass Quarter-Final Streak,Roger Federer,Switzerland,SUI,true,,19
CarpetQuarterFinalStreak,Carpet Quarter-Final Streak,John McEnroe,United States,USA,false,,25
OutdoorQuarterFinalStreak,Outdoor Quarter-Final Streak,Novak Djokovic,Serbia,SRB,true,,36
IndoorQuarterFinalStreak,Indoor Quarter-Final Streak,Ivan Lendl,United States,USA,false,,30
QuarterFinalTournamentStreak,Quarter-Final Streak at Single Tournament,Roger Federer,Switzerland,SUI,true,,17
GrandSlamQuarterFinalTournamentStreak,Quarter-Final Streak at Single Grand Slam Tournament,Jimmy Connors,United States,USA,false,,13
MastersQuarterFinalTournamentStreak,Quarter-Final Streak at Single Masters Tournament,Rafael Nadal,Spain,ESP,true,,16
ATP500QuarterFinalTournamentStreak,Quarter-Final Streak at Single ATP 500/CS Tournament,Novak Djokovic,Serbia,SRB,true,,11
ATP250QuarterFinalTournamentStreak,Quarter-Final Streak at Single ATP 250/WS Tournament,Roger Federer,Switzerland,SUI,true,,12
YoungestTournamentChampion,Youngest Tournament Champion,Aaron Krickstein,United States,USA,false,1,16 years 2 mons 8 days
YoungestGrandSlamChampion,Youngest Grand Slam Champion,Michael Chang,United States,USA,false,"2, 1",17 years 3 mons 7 days
YoungestTourFinalsChampion,Youngest Tour Finals Champion,John McEnroe,United States,USA,false,1,19 years 10 mons 22 days
YoungestAltFinalsChampion,Youngest Alternative Tour Finals Champion,Pete Sampras,United States,USA,false,,19 years 3 mons 30 days
YoungestMastersChampion,Youngest Masters Champion,Boris Becker,Germany,GER,false,1,17 years 8 mons 27 days
YoungestOlympicsChampion,Youngest Olympics Champion,Stefan Edberg,Sweden,SWE,false,,18 years 6 mons 20 days
YoungestATP500Champion,Youngest ATP 500/CS Champion,Boris Becker,Germany,GER,false,,17 years 6 mons 18 days
YoungestATP250Champion,Youngest ATP 250/WS Champion,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestHardChampion,Youngest Hard Champion,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestClayChampion,Youngest Clay Champion,Aaron Krickstein,United States,USA,false,,16 years 11 mons 14 days
YoungestGrassChampion,Youngest Grass Champion,Boris Becker,Germany,GER,false,,17 years 6 mons 18 days
YoungestCarpetChampion,Youngest Carpet Champion,Michael Chang,United States,USA,false,,16 years 7 mons 4 days
YoungestOutdoorChampion,Youngest Outdoor Champion,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestIndoorChampion,Youngest Indoor Champion,Michael Chang,United States,USA,false,,16 years 7 mons 4 days
YoungestTournamentFinalist,Youngest Tournament Finalist,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestGrandSlamFinalist,Youngest Grand Slam Finalist,Michael Chang,United States,USA,false,,17 years 3 mons 7 days
YoungestTourFinalsFinalist,Youngest Tour Finals Finalist,Boris Becker,Germany,GER,false,,18 years 1 mon 22 days
YoungestAltFinalsFinalist,Youngest Alternative Tour Finals Finalist,Bjorn Borg,Sweden,SWE,false,,17 years 11 mons 2 days
YoungestMastersFinalist,Youngest Masters Finalist,Aaron Krickstein,United States,USA,false,,16 years 9 mons 11 days
YoungestOlympicsFinalist,Youngest Olympics Finalist,Stefan Edberg,Sweden,SWE,false,,18 years 6 mons 20 days
YoungestATP500Finalist,Youngest ATP 500/CS Finalist,Boris Becker,Germany,GER,false,,17 years 6 mons 18 days
YoungestATP250Finalist,Youngest ATP 250/WS Finalist,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestHardFinalist,Youngest Hard Finalist,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestClayFinalist,Youngest Clay Finalist,Aaron Krickstein,United States,USA,false,,16 years 9 mons 11 days
YoungestGrassFinalist,Youngest Grass Finalist,Bjorn Borg,Sweden,SWE,false,,17 years 5 days
YoungestCarpetFinalist,Youngest Carpet Finalist,Michael Chang,United States,USA,false,,16 years 7 mons 4 days
YoungestOutdoorFinalist,Youngest Outdoor Finalist,Aaron Krickstein,United States,USA,false,,16 years 2 mons 8 days
YoungestIndoorFinalist,Youngest Indoor Finalist,Michael Chang,United States,USA,false,,16 years 7 mons 4 days
OldestTournamentChampion,Oldest Tournament Champion,Richard Pancho Gonzales,United States,USA,false,1,44 years 7 mons 4 days
OldestGrandSlamChampion,Oldest Grand Slam Champion,Ken Rosewall,Australia,AUS,false,"2, 1",37 years 1 mon 24 days
OldestTourFinalsChampion,Oldest Tour Finals Champion,Roger Federer,Switzerland,SUI,true,1,30 years 3 mons 12 days
OldestAltFinalsChampion,Oldest Alternative Tour Finals Champion,Ken Rosewall,Australia,AUS,false,,37 years 6 mons 8 days
OldestMastersChampion,Oldest Masters Champion,Richard Pancho Gonzales,United States,USA,false,1,41 years 4 mons 28 days
OldestOlympicsChampion,Oldest Olympics Champion,Andy Murray,United Kingdom,GBR,true,,29 years 2 mons 24 days
OldestATP500Champion,Oldest ATP 500/CS Champion,Richard Pancho Gonzales,United States,USA,false,,42 years 4 days
OldestATP250Champion,Oldest ATP 250/WS Champion,Richard Pancho Gonzales,United States,USA,false,,44 years 7 mons 4 days
OldestHardChampion,Oldest Hard Champion,Richard Pancho Gonzales,United States,USA,false,,44 years 7 mons 4 days
OldestClayChampion,Oldest Clay Champion,Ken Rosewall,Australia,AUS,false,,40 years 8 mons 5 days
OldestGrassChampion,Oldest Grass Champion,Ken Rosewall,Australia,AUS,false,,38 years 1 mon 1 day
OldestCarpetChampion,Oldest Carpet Champion,Ken Rosewall,Australia,AUS,false,,41 years 4 mons 15 days
OldestOutdoorChampion,Oldest Outdoor Champion,Richard Pancho Gonzales,United States,USA,false,,44 years 7 mons 4 days
OldestIndoorChampion,Oldest Indoor Champion,Richard Pancho Gonzales,United States,USA,false,,43 years 8 mons 28 days
OldestTournamentFinalist,Oldest Tournament Finalist,Pancho Segura,Ecuador,ECU,false,,48 years 1 mon 18 days
OldestGrandSlamFinalist,Oldest Grand Slam Finalist,Ken Rosewall,Australia,AUS,false,,39 years 9 mons 26 days
OldestTourFinalsFinalist,Oldest Tour Finals Finalist,Arthur Ashe,United States,USA,false,,35 years 6 mons
OldestAltFinalsFinalist,Oldest Alternative Tour Finals Finalist,Ken Rosewall,Australia,AUS,false,,37 years 6 mons 8 days
OldestMastersFinalist,Oldest Masters Finalist,Richard Pancho Gonzales,United States,USA,false,,41 years 4 mons 28 days
OldestOlympicsFinalist,Oldest Olympics Finalist,Roger Federer,Switzerland,SUI,true,,30 years 11 mons 17 days
OldestATP500Finalist,Oldest ATP 500/CS Finalist,Ken Rosewall,Australia,AUS,false,,42 years 10 mons 15 days
OldestATP250Finalist,Oldest ATP 250/WS Finalist,Pancho Segura,Ecuador,ECU,false,,48 years 1 mon 18 days
OldestHardFinalist,Oldest Hard Finalist,Pancho Segura,Ecuador,ECU,false,,48 years 1 mon 18 days
OldestClayFinalist,Oldest Clay Finalist,Ken Rosewall,Australia,AUS,false,,41 years 5 mons 4 days
OldestGrassFinalist,Oldest Grass Finalist,Richard Pancho Gonzales,United States,USA,false,,41 years 3 mons 12 days
OldestCarpetFinalist,Oldest Carpet Finalist,Richard Pancho Gonzales,United States,USA,false,,44 years 6 mons 26 days
OldestOutdoorFinalist,Oldest Outdoor Finalist,Pancho Segura,Ecuador,ECU,false,,48 years 1 mon 18 days
OldestIndoorFinalist,Oldest Indoor Finalist,Richard Pancho Gonzales,United States,USA,false,,44 years 6 mons 26 days
LongestTitleSpan,Longest First Title to Last Title,Roger Federer,Switzerland,SUI,true,,18 years 8 mons 23 days
LongestGrandSlamTitleSpan,Longest Grand Slam First Title to Last Title,Rafael Nadal,Spain,ESP,true,,16 years 7 mons 25 days
LongestTourFinalsTitleSpan,Longest Tour Finals First Title to Last Title,Pete Sampras,United States,USA,false,,8 years 10 days
LongestAllFinalsTitleSpan,Longest All Tour Finals First Title to Last Title,John McEnroe,United States,USA,false,,10 years 1 mon 18 days
LongestMastersTitleSpan,Longest Masters First Title to Last Title,Roger Federer,Switzerland,SUI,true,,16 years 10 mons 5 days
LongestFinalSpan,Longest First Final to Last Final,Roger Federer,Switzerland,SUI,true,,19 years 8 mons 14 days
LongestGrandSlamFinalSpan,Longest Grand Slam First Final to Last Final,Rafael Nadal,Spain,ESP,true,,16 years 7 mons 25 days
LongestTourFinalsFinalSpan,Longest Tour Finals First Final to Last Final,Andre Agassi,United States,USA,false,,12 years 11 mons 28 days
LongestAllFinalsFinalSpan,Longest All Tour Finals First Final to Last Final,Andre Agassi,United States,USA,false,,12 years 11 mons 28 days
LongestMastersFinalSpan,Longest Masters First Final to Last Final,Roger Federer,Switzerland,SUI,true,,17 years
LongestWinSpan,Longest First Win to Last Win,Jimmy Connors,United States,USA,false,,24 years 10 mons 2 days
LongestGrandSlamWinSpan,Longest Grand Slam First Win to Last Win,Roger Federer,Switzerland,SUI,true,,21 years 5 mons 11 days
LongestTourFinalsWinSpan,Longest Tour Finals First Win to Last Win,Roger Federer,Switzerland,SUI,true,,17 years
LongestAllFinalsWinSpan,Longest All Tour Finals First Win to Last Win,Roger Federer,Switzerland,SUI,true,,17 years
LongestMastersWinSpan,Longest Masters First Win to Last Win,Jimmy Connors,United States,USA,false,,21 years 5 mons 24 days
LongestOlympicsWinSpan,Longest Olympics First Win to Last Win,Marin Cilic,Croatia,CRO,true,,12 years 11 mons 13 days
LongestMatchSpan,Longest First Match to Last Match,Thomas Muster,Austria,AUT,false,,27 years 5 mons 20 days
LongestGrandSlamMatchSpan,Longest Grand Slam First Match to Last Match,Roger Federer,Switzerland,SUI,true,,22 years 1 mon 4 days
LongestTourFinalsMatchSpan,Longest Tour Finals First Match to Last Match,Roger Federer,Switzerland,SUI,true,,17 years
LongestAllFinalsMatchSpan,Longest All Tour Finals First Match to Last Match,Jimmy Connors,United States,USA,false,,19 years 12 days
LongestMastersMatchSpan,Longest Masters First Match to Last Match,Jimmy Connors,United States,USA,false,,22 years 5 mons 23 days
LongestOlympicsMatchSpan,Longest Olympics First Match to Last Match,Yen Hsun Lu,"Taiwan, Province of China",TPE,true,,16 years 11 mons 8 days
ConsecutiveSeasonsWithTitle,Consecutive Seasons With at Least One Title,Rafael Nadal,Spain,ESP,true,,19
ConsecutiveSeasonsWithGrandSlamTitle,Consecutive Seasons With at Least One Grand Slam Title,Rafael Nadal,Spain,ESP,true,,10
ConsecutiveSeasonsWithMastersTitle,Consecutive Seasons With at Least One Masters Title,Rafael Nadal,Spain,ESP,true,,10
ConsecutiveSeasonsWithFinal,Consecutive Seasons With at Least One Final,Roger Federer,Switzerland,SUI,true,,20
ConsecutiveSeasonsWithGrandSlamFinal,Consecutive Seasons With at Least One Grand Slam Final,Ivan Lendl,United States,USA,false,,11
ConsecutiveSeasonsWithMastersFinal,Consecutive Seasons With at Least One Masters Final,Rafael Nadal,Spain,ESP,true,,15
LeastGamesLostWinningTitle,Least Games Lost Winning Title,Kent Carlsson,Sweden,SWE,false,,10
LeastGamesLostWinningGrandSlamTitle,Least Games Lost Winning Grand Slam Title,Bjorn Borg,Sweden,SWE,false,,32
LeastGamesLostWinningTourFinalsTitle,Least Games Lost Winning Tour Finals Title,Novak Djokovic,Serbia,SRB,true,,16
LeastGamesLostWinningAltFinalsTitle,Least Games Lost Winning Alternative Tour Finals Title,John McEnroe,United States,USA,false,,23
LeastGamesLostWinningMastersTitle,Least Games Lost Winning Masters Title,Rafael Nadal,Spain,ESP,true,,14
LeastGamesLostWinningOlympicsTitle,Least Games Lost Winning Olympics Title,Stefan Edberg,Sweden,SWE,false,,34
LeastGamesLostWinningATP500Title,Least Games Lost Winning ATP 500/CS Title,Rod Laver,Australia,AUS,false,,16
LeastGamesLostWinningATP250Title,Least Games Lost Winning ATP 250/WS Title,Kent Carlsson,Sweden,SWE,false,,10
LeastGamesLostWinningHardTitle,Least Games Lost Winning Hard Title,Vitas Gerulaitis,United States,USA,false,,13
LeastGamesLostWinningClayTitle,Least Games Lost Winning Clay Title,Kent Carlsson,Sweden,SWE,false,,10
LeastGamesLostWinningGrassTitle,Least Games Lost Winning Grass Title,Alex Metreveli,Russian Federation,RUS,false,,19
LeastGamesLostWinningCarpetTitle,Least Games Lost Winning Carpet Title,Ken Rosewall,Australia,AUS,false,,14
LeastGamesLostWinningOutdoorTitle,Least Games Lost Winning Outdoor Title,Kent Carlsson,Sweden,SWE,false,,10
LeastGamesLostWinningIndoorTitle,Least Games Lost Winning Indoor Title,Ken Rosewall,Australia,AUS,false,,14
LeastSetsLostWinningTitle,Least Sets Lost Winning Title,Ilie Nastase,Romania,ROU,false,,0
LeastSetsLostWinningGrandSlamTitle,Least Sets Lost Winning Grand Slam Title,Ilie Nastase,Romania,ROU,false,,0
LeastSetsLostWinningTourFinalsTitle,Least Sets Lost Winning Tour Finals Title,Ivan Lendl,United States,USA,false,,0
LeastSetsLostWinningAltFinalsTitle,Least Sets Lost Winning Alternative Tour Finals Title,Boris Becker,Germany,GER,false,,0
LeastSetsLostWinningMastersTitle,Least Sets Lost Winning Masters Title,Rod Laver,Australia,AUS,false,,0
LeastSetsLostWinningOlympicsTitle,Least Sets Lost Winning Olympics Title,Stefan Edberg,Sweden,SWE,false,,0
LeastSetsLostWinningATP500Title,Least Sets Lost Winning ATP 500/CS Title,Cliff Richey,United States,USA,false,,0
LeastSetsLostWinningATP250Title,Least Sets Lost Winning ATP 250/WS Title,Nicola Pietrangeli,Italy,ITA,false,,0
LeastSetsLostWinningHardTitle,Least Sets Lost Winning Hard Title,Roger Federer,Switzerland,SUI,true,,0
LeastSetsLostWinningClayTitle,Least Sets Lost Winning Clay Title,Ilie Nastase,Romania,ROU,false,,0
LeastSetsLostWinningGrassTitle,Least Sets Lost Winning Grass Title,Bjorn Borg,Sweden,SWE,false,,0
LeastSetsLostWinningCarpetTitle,Least Sets Lost Winning Carpet Title,Brian Gottfried,United States,USA,false,,0
LeastSetsLostWinningOutdoorTitle,Least Sets Lost Winning Outdoor Title,Ilie Nastase,Romania,ROU,false,,0
LeastSetsLostWinningIndoorTitle,Least Sets Lost Winning Indoor Title,Brian Gottfried,United States,USA,false,,0
TitlesWonWOLosingSet,Titles Won W/O Losing Set,Rafael Nadal,Spain,ESP,true,1,29
GrandSlamTitlesWonWOLosingSet,Grand Slam Titles Won W/O Losing Set,Rafael Nadal,Spain,ESP,true,"2, 1",4
TourFinalsTitlesWonWOLosingSet,Tour Finals Titles Won W/O Losing Set,Ivan Lendl,United States,USA,false,1,3
AltFinalsTitlesWonWOLosingSet,Alternative Tour Finals Titles Won W/O Losing Set,John McEnroe,United States,USA,false,,2
MastersTitlesWonWOLosingSet,Masters Titles Won W/O Losing Set,Novak Djokovic,Serbia,SRB,true,1,10
OlympicsTitlesWonWOLosingSet,Olympics Titles Won W/O Losing Set,Stefan Edberg,Sweden,SWE,false,,1
ATP500TitlesWonWOLosingSet,ATP 500/CS Titles Won W/O Losing Set,Rafael Nadal,Spain,ESP,true,,14
ATP250TitlesWonWOLosingSet,ATP 250/WS Titles Won W/O Losing Set,Jimmy Connors,United States,USA,false,,21
HardTitlesWonWOLosingSet,Hard Titles Won W/O Losing Set,Roger Federer,Switzerland,SUI,true,,15
ClayTitlesWonWOLosingSet,Clay Titles Won W/O Losing Set,Rafael Nadal,Spain,ESP,true,,26
GrassTitlesWonWOLosingSet,Grass Titles Won W/O Losing Set,Jimmy Connors,United States,USA,false,,4
CarpetTitlesWonWOLosingSet,Carpet Titles Won W/O Losing Set,John McEnroe,United States,USA,false,,16
OutdoorTitlesWonWOLosingSet,Outdoor Titles Won W/O Losing Set,Rafael Nadal,Spain,ESP,true,,29
IndoorTitlesWonWOLosingSet,Indoor Titles Won W/O Losing Set,John McEnroe,United States,USA,false,,22
LeastBreaksAgainstWinningTitle,Least Breaks Against Winning Title,Tommy Haas,Germany,GER,false,,0
LeastBreaksAgainstWinningGrandSlamTitle,Least Breaks Against Winning Grand Slam Title,Pete Sampras,United States,USA,false,,2
LeastBreaksAgainstWinningTourFinalsTitle,Least Breaks Against Winning Tour Finals Title,Alexander Zverev,Germany,GER,true,,1
LeastBreaksAgainstWinningMastersTitle,Least Breaks Against Winning Masters Title,Alexander Zverev,Germany,GER,true,,0
LeastBreaksAgainstWinningOlympicsTitle,Least Breaks Against Winning Olympics Title,Andy Murray,United Kingdom,GBR,true,,2
LeastBreaksAgainstWinningATP500Title,Least Breaks Against Winning ATP 500/CS Title,Tommy Haas,Germany,GER,false,,0
LeastBreaksAgainstWinningATP250Title,Least Breaks Against Winning ATP 250/WS Title,John Isner,United States,USA,true,,0
LeastBreaksAgainstWinningHardTitle,Least Breaks Against Winning Hard Title,Tommy Haas,Germany,GER,false,,0
LeastBreaksAgainstWinningClayTitle,Least Breaks Against Winning Clay Title,Alexander Zverev,Germany,GER,true,,0
LeastBreaksAgainstWinningGrassTitle,Least Breaks Against Winning Grass Title,John Isner,United States,USA,true,,0
LeastBreaksAgainstWinningCarpetTitle,Least Breaks Against Winning Carpet Title,Andy Roddick,United States,USA,false,,0
LeastBreaksAgainstWinningOutdoorTitle,Least Breaks Against Winning Outdoor Title,John Isner,United States,USA,true,,0
LeastBreaksAgainstWinningIndoorTitle,Least Breaks Against Winning Indoor Title,Tommy Haas,Germany,GER,false,,0
MostBreaksWinningTitle,Most Breaks Winning Title,Gaston Gaudio,Argentina,ARG,false,,62
MostBreaksWinningGrandSlamTitle,Most Breaks Winning Grand Slam Title,Gaston Gaudio,Argentina,ARG,false,,62
MostBreaksWinningTourFinalsTitle,Most Breaks Winning Tour Finals Title,David Nalbandian,Argentina,ARG,false,,31
MostBreaksWinningMastersTitle,Most Breaks Winning Masters Title,Rafael Nadal,Spain,ESP,true,,37
MostBreaksWinningOlympicsTitle,Most Breaks Winning Olympics Title,Andy Murray,United Kingdom,GBR,true,,31
MostBreaksWinningATP500Title,Most Breaks Winning ATP 500/CS Title,Guillermo Canas,Argentina,ARG,false,,32
MostBreaksWinningATP250Title,Most Breaks Winning ATP 250/WS Title,Thomas Muster,Austria,AUT,false,,32
MostBreaksWinningHardTitle,Most Breaks Winning Hard Title,Novak Djokovic,Serbia,SRB,true,,55
MostBreaksWinningClayTitle,Most Breaks Winning Clay Title,Gaston Gaudio,Argentina,ARG,false,,62
MostBreaksWinningGrassTitle,Most Breaks Winning Grass Title,Lleyton Hewitt,Australia,AUS,false,,42
MostBreaksWinningCarpetTitle,Most Breaks Winning Carpet Title,David Nalbandian,Argentina,ARG,false,,31
MostBreaksWinningOutdoorTitle,Most Breaks Winning Outdoor Title,Gaston Gaudio,Argentina,ARG,false,,62
MostBreaksWinningIndoorTitle,Most Breaks Winning Indoor Title,David Nalbandian,Argentina,ARG,false,,31
TitlesWonWOBreakAgainst,Titles Won W/O Break Against,Roger Federer,Switzerland,SUI,true,,4
GrandSlamTitlesWonWOBreakAgainst,Grand Slam Titles Won W/O Break Against,,,,,,
TourFinalsTitlesWonWOBreakAgainst,Tour Finals Titles Won W/O Break Against,,,,,,
MastersTitlesWonWOBreakAgainst,Masters Titles Won W/O Break Against,Roger Federer,Switzerland,SUI,true,,2
OlympicsTitlesWonWOBreakAgainst,Olympics Titles Won W/O Break Against,,,,,,
ATP500TitlesWonWOBreakAgainst,ATP 500/CS Titles Won W/O Break Against,Ivan Ljubicic,Croatia,CRO,false,,2
ATP250TitlesWonWOBreakAgainst,ATP 250/WS Titles Won W/O Break Against,Richard Krajicek,Netherlands,NED,false,,2
HardTitlesWonWOBreakAgainst,Hard Titles Won W/O Break Against,Roger Federer,Switzerland,SUI,true,,3
ClayTitlesWonWOBreakAgainst,Clay Titles Won W/O Break Against,Alexander Zverev,Germany,GER,true,,1
